id;nome;destaque;descricao;imagem
1;HTML5;false;Linguagem de marcação para estruturação de páginas web.;"[""./icons/HTML5/HTML5-original.svg"",""https://github.com/portfolio-projetos-dev/assets/raw/main/images/html.svg""]"
2;CSS;false;Linguagem de estilos para definição do design e layout das páginas web.;"[""./icons/CSS/CSS-original.svg"",""https://github.com/portfolio-projetos-dev/assets/raw/main/images/css.svg""]"
3;JavaScript;false;Linguagem de programação para interatividade em páginas web.;"[""./icons/JavaScript/JavaScript-original.svg"",""https://github.com/portfolio-projetos-dev/assets/raw/main/images/javascript.svg""]"
4;TypeScript;true;Superset do JavaScript que adiciona tipagem estética.;"[""./icons/TypeScript/TypeScript-original.svg"",""https://github.com/portfolio-projetos-dev/assets/raw/main/images/typescript.svg""]"
5;Node.js;true;Ambiente de execução JavaScript no lado do servidor.;"[""./icons/Node.js/Node.js-original.svg"",""https://github.com/portfolio-projetos-dev/assets/raw/main/images/node.svg""]"
6;Java;true;Linguagem de programação orientada a objetos.;"[""./icons/Java/Java-original.svg"",""https://github.com/portfolio-projetos-dev/assets/raw/main/images/java.svg""]"
7;Python;true;Linguagem de programação interpretada de alto nível.;"[""./icons/Python/Python-original.svg"",""https://github.com/portfolio-projetos-dev/assets/raw/main/images/python.svg""]"
8;NestJS;true;Framework para construção de aplicações back-end em Node.js.;"[""./icons/NestJS/NestJS-original.svg"",""https://github.com/portfolio-projetos-dev/assets/raw/main/images/nest.svg""]"
9;Express.js;false;Framework web minimalista para Node.js.;"[""./icons/Express.js/Express.js-original.svg"",""https://github.com/portfolio-projetos-dev/assets/raw/main/images/express.svg""]"
10;React;true;Biblioteca JavaScript para construção de interfaces de usuário.;"[""./icons/React/React-original.svg"",""https://github.com/portfolio-projetos-dev/assets/raw/main/images/react.svg""]"
11;Vue.js;false;Framework progressivo para construção de interfaces de usuário.;"[""./icons/Vue.js/Vue.js-original.svg"",""https://github.com/portfolio-projetos-dev/assets/raw/main/images/vue.svg""]"
14;PostgreSQL;false;Sistema de gerenciamento de banco de dados relacional avançado.;"[""./icons/PostgreSQL/PostgreSQL-original.svg"",""https://github.com/portfolio-projetos-dev/assets/raw/main/images/postgresql.svg""]"
17;Docker;false;Plataforma para criação;"[""./icons/Docker/Docker-original.svg"",""https://github.com/portfolio-projetos-dev/assets/raw/main/images/docker.svg""]"
21;React Native;false;Biblioteca para desenvolvimento de aplicativos mÃ³veis com React.;"[""./icons/React Native/React Native-original.svg"",""https://github.com/portfolio-projetos-dev/assets/raw/main/images/react.svg""]"
22;Next.js;false;Framework React para construção de aplicações web.;"[""./icons/Next.js/Next.js-original.svg"",""https://github.com/portfolio-projetos-dev/assets/raw/main/images/next.svg""]"
23;Prisma;false;ORM para Node.js e TypeScript com suporte a diversos bancos de dados.;"[""./icons/Prisma/Prisma-original.svg"",""https://github.com/portfolio-projetos-dev/assets/raw/main/images/prisma.svg""]"
24;Supabase;false;Plataforma open-source para desenvolvimento de aplicativos web e APIs.;"[""./icons/supabase/supabase-original.svg"",""https://supabase.com/dashboard/_next/image?url=%2Fdashboard%2Fimg%2Fsupabase-logo.svg&w=32&q=75""]"
25;Tailwind CSS;false;Framework CSS para construção de interfaces de usuário.;"[""./icons/Tailwind CSS/Tailwind CSS-original.svg"",""https://github.com/portfolio-projetos-dev/assets/raw/main/images/tailwind.svg""]"
